"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","409","Тест логина для пользователя: locked_out_user","chromium","2026-09-26","passed","2026-09-26","","login_ddt.spec.ts","",""
"","2","factory test","chromium","2026-09-26","passed","2026-09-26","","login_ddt.spec.ts","",""
"","392","Тест логина для пользователя:","chromium","2026-09-26","passed","2026-09-26","","login_ddt.spec.ts","",""
"","700","facade test","chromium","2026-09-26","passed","2026-09-26","","checkout.spec.ts","",""
"","523","Login with valid credentials","chromium","2026-09-26","passed","2026-09-26","","login_pom.spec.ts","",""
"","617","check cart","chromium","2026-09-26","passed","2026-09-26","","login_pom.spec.ts","",""
"","409","Тест логина для пользователя: standard_user","chromium","2026-09-26","passed","2026-09-26","","login_ddt.spec.ts","",""
